cash_position_id,account_id,customer_id,branch_id,business_date,opening_balance,closing_balance,available_liquidity,currency_code,region_code,start_date,end_date,baseline
CASHPOS_0000001,ACC_NAMER_001436,CUST_NAMER_001436,BR_NAMER_0036,2026-06-20,5425321.8,5466477.0,4713449.9,USD,NAMER,2026-06-20,2026-06-21,cash_20260630
CASHPOS_0000002,ACC_NAMER_000694,CUST_NAMER_000694,BR_NAMER_0094,2026-06-08,4973511.0,5205600.4,3797139.68,USD,NAMER,2026-06-08,2026-06-09,cash_20260630
CASHPOS_0000003,ACC_NAMER_000512,CUST_NAMER_000512,BR_NAMER_0112,2026-06-11,817223.6,845567.02,677987.82,USD,NAMER,2026-06-11,2026-06-12,cash_20260630
CASHPOS_0000004,ACC_NAMER_000665,CUST_NAMER_000665,BR_NAMER_0065,2026-06-22,4707907.27,4939989.13,3837049.79,USD,NAMER,2026-06-22,2026-06-23,cash_20260630
CASHPOS_0000005,ACC_NAMER_000596,CUST_NAMER_000596,BR_NAMER_0196,2026-06-22,3338779.81,2949397.47,2292464.19,USD,NAMER,2026-06-22,2026-06-23,cash_20260630
CASHPOS_0000006,ACC_NAMER_001020,CUST_NAMER_001020,BR_NAMER_0020,2026-06-20,5138636.47,4985076.23,4288323.85,USD,NAMER,2026-06-20,2026-06-21,cash_20260630
CASHPOS_0000007,ACC_NAMER_000485,CUST_NAMER_000485,BR_NAMER_0085,2026-06-30,2173199.5,1938691.91,1661890.33,USD,NAMER,2026-06-30,2026-07-01,cash_20260630
CASHPOS_0000008,ACC_NAMER_000762,CUST_NAMER_000762,BR_NAMER_0162,2026-06-12,4177415.83,4203596.74,3379468.26,USD,NAMER,2026-06-12,2026-06-13,cash_20260630
CASHPOS_0000009,ACC_NAMER_000379,CUST_NAMER_000379,BR_NAMER_0179,2026-06-21,3685434.03,3510268.72,3396317.24,USD,NAMER,2026-06-21,2026-06-22,cash_20260630
CASHPOS_0000010,ACC_NAMER_000771,CUST_NAMER_000771,BR_NAMER_0171,2026-06-08,760854.43,756135.32,661968.38,USD,NAMER,2026-06-08,2026-06-09,cash_20260630
CASHPOS_0000011,ACC_NAMER_001503,CUST_NAMER_001503,BR_NAMER_0103,2026-06-29,2634422.91,2769066.8,2658794.6,USD,NAMER,2026-06-29,2026-06-30,cash_20260630
CASHPOS_0000012,ACC_NAMER_000124,CUST_NAMER_000124,BR_NAMER_0124,2026-06-17,75164.12,71699.4,57970.56,USD,NAMER,2026-06-17,2026-06-18,cash_20260630
CASHPOS_0000013,ACC_NAMER_000063,CUST_NAMER_000063,BR_NAMER_0063,2026-06-05,423796.93,456062.95,433253.92,USD,NAMER,2026-06-05,2026-06-06,cash_20260630
