fx_rate_id,currency_code,region_code,fx_rate_to_usd,fx_rate_from_usd,as_of_timestamp,start_date,end_date,baseline
FX_NAMER_000001,USD,NAMER,1.00975,0.990344,2026-06-30 17:44:31,2026-06-10,2099-12-31,fx_rates_20260630
FX_NAMER_000002,USD,NAMER,1.030177,0.970707,2026-06-30 10:35:55,2026-06-10,2099-12-31,fx_rates_20260630
FX_NAMER_000003,USD,NAMER,1.023884,0.976673,2026-06-30 08:10:43,2026-06-10,2099-12-31,fx_rates_20260630
FX_NAMER_000004,USD,NAMER,0.999919,1.000081,2026-06-30 19:02:09,2026-06-10,2099-12-31,fx_rates_20260630
FX_NAMER_000005,USD,NAMER,0.992942,1.007108,2026-06-30 03:45:06,2026-06-10,2099-12-31,fx_rates_20260630
FX_NAMER_000006,USD,NAMER,1.010988,0.989131,2026-06-30 03:13:29,2026-06-10,2099-12-31,fx_rates_20260630
FX_NAMER_000007,USD,NAMER,0.989704,1.010403,2026-06-30 21:57:57,2026-06-10,2099-12-31,fx_rates_20260630
FX_NAMER_000008,USD,NAMER,0.982251,1.01807,2026-06-30 21:48:38,2026-06-10,2099-12-31,fx_rates_20260630
FX_NAMER_000009,USD,NAMER,1.025499,0.975135,2026-06-30 13:12:00,2026-06-10,2099-12-31,fx_rates_20260630
FX_NAMER_000010,USD,NAMER,1.031474,0.969486,2026-06-30 08:47:06,2026-06-10,2099-12-31,fx_rates_20260630
FX_NAMER_000011,USD,NAMER,0.989117,1.011003,2026-06-30 18:00:19,2026-06-10,2099-12-31,fx_rates_20260630
FX_NAMER_000012,USD,NAMER,0.972396,1.028388,2026-06-30 15:44:45,2026-06-10,2099-12-31,fx_rates_20260630
FX_NAMER_000013,USD,NAMER,0.974232,1.02645,2026-06-30 15:21:09,2026-06-10,2099-12-31,fx_rates_20260630
FX_NAMER_000014,USD,NAMER,1.003858,0.996157,2026-06-30 02:03:45,2026-06-10,2099-12-31,fx_rates_20260630
FX_NAMER_000015,USD,NAMER,1.003074,0.996935,2026-06-30 23:13:51,2026-06-10,2099-12-31,fx_rates_20260630
FX_NAMER_000016,USD,NAMER,0.980791,1.019585,2026-06-30 03:49:47,2026-06-10,2099-12-31,fx_rates_20260630
FX_NAMER_000017,USD,NAMER,0.952722,1.049624,2026-06-30 10:12:06,2026-06-10,2099-12-31,fx_rates_20260630
FX_NAMER_000018,USD,NAMER,1.002351,0.997655,2026-06-30 10:02:38,2026-06-10,2099-12-31,fx_rates_20260630
FX_NAMER_000019,USD,NAMER,1.008695,0.99138,2026-06-30 09:09:46,2026-06-10,2099-12-31,fx_rates_20260630
FX_NAMER_000020,USD,NAMER,1.034768,0.9664,2026-06-30 23:18:40,2026-06-10,2099-12-31,fx_rates_20260630
FX_NAMER_000021,USD,NAMER,1.001488,0.998514,2026-06-30 18:29:21,2026-06-10,2099-12-31,fx_rates_20260630
FX_NAMER_000022,USD,NAMER,1.090392,0.917101,2026-06-30 11:58:20,2026-06-10,2099-12-31,fx_rates_20260630
FX_NAMER_000023,USD,NAMER,1.02576,0.974887,2026-06-30 15:16:43,2026-06-10,2099-12-31,fx_rates_20260630
FX_NAMER_000024,USD,NAMER,1.048338,0.953891,2026-06-30 09:08:51,2026-06-10,2099-12-31,fx_rates_20260630
FX_NAMER_000025,USD,NAMER,0.984764,1.015472,2026-06-30 12:59:08,2026-06-10,2099-12-31,fx_rates_20260630
FX_NAMER_000026,USD,NAMER,0.991575,1.008497,2026-06-30 03:01:31,2026-06-10,2099-12-31,fx_rates_20260630
FX_NAMER_000027,USD,NAMER,1.011175,0.988949,2026-06-30 00:28:14,2026-06-10,2099-12-31,fx_rates_20260630
FX_NAMER_000028,USD,NAMER,0.989625,1.010484,2026-06-30 03:40:55,2026-06-10,2099-12-31,fx_rates_20260630
FX_NAMER_000029,USD,NAMER,1.014784,0.985431,2026-06-30 17:40:41,2026-06-10,2099-12-31,fx_rates_20260630
FX_NAMER_000030,USD,NAMER,1.007488,0.992568,2026-06-30 08:50:16,2026-06-10,2099-12-31,fx_rates_20260630
FX_NAMER_000031,USD,NAMER,1.012569,0.987587,2026-06-30 21:19:39,2026-06-10,2099-12-31,fx_rates_20260630
FX_NAMER_000032,USD,NAMER,0.930301,1.074921,2026-06-30 18:01:17,2026-06-10,2099-12-31,fx_rates_20260630
FX_NAMER_000033,USD,NAMER,1.007081,0.992969,2026-06-30 08:03:37,2026-06-10,2099-12-31,fx_rates_20260630
FX_NAMER_000034,USD,NAMER,0.994071,1.005964,2026-06-30 21:31:14,2026-06-10,2099-12-31,fx_rates_20260630
