intraday_id,account_id,customer_id,loan_id,branch_id,as_of_timestamp,inflow_amount,outflow_amount,net_position,currency_code,region_code,start_date,end_date,baseline
INTRA_00000001,ACC_NAMER_000187,CUST_NAMER_000187,LOAN_NAMER_001357,BR_NAMER_0012,2026-06-30 14:16:58,887780.41,350996.62,536783.79,USD,NAMER,2026-06-30,2026-06-30,intraday_20260630
INTRA_00000002,ACC_NAMER_000228,CUST_NAMER_000228,LOAN_NAMER_001387,BR_NAMER_0003,2026-06-30 06:41:17,793.21,756.16,37.05,USD,NAMER,2026-06-30,2026-06-30,intraday_20260630
INTRA_00000003,ACC_NAMER_000164,CUST_NAMER_000164,LOAN_NAMER_001174,BR_NAMER_0014,2026-06-30 20:21:47,4249.58,10767.16,-6517.58,USD,NAMER,2026-06-30,2026-06-30,intraday_20260630
INTRA_00000004,ACC_NAMER_000286,CUST_NAMER_000286,LOAN_NAMER_000757,BR_NAMER_0011,2026-06-30 22:01:49,80193.8,13633.42,66560.38,USD,NAMER,2026-06-30,2026-06-30,intraday_20260630
INTRA_00000005,ACC_NAMER_000102,CUST_NAMER_000102,LOAN_NAMER_000873,BR_NAMER_0002,2026-06-30 02:48:39,1255.45,9536.37,-8280.92,USD,NAMER,2026-06-30,2026-06-30,intraday_20260630
INTRA_00000006,ACC_NAMER_000267,CUST_NAMER_000267,LOAN_NAMER_001222,BR_NAMER_0017,2026-06-30 17:03:18,1035.4,908.56,126.84,USD,NAMER,2026-06-30,2026-06-30,intraday_20260630
INTRA_00000007,ACC_NAMER_000124,CUST_NAMER_000124,LOAN_NAMER_000156,BR_NAMER_0024,2026-06-30 17:22:55,87329.39,95420.92,-8091.53,USD,NAMER,2026-06-30,2026-06-30,intraday_20260630
INTRA_00000008,ACC_NAMER_000153,CUST_NAMER_000153,LOAN_NAMER_001679,BR_NAMER_0003,2026-06-30 11:24:10,20941.22,68963.39,-48022.17,USD,NAMER,2026-06-30,2026-06-30,intraday_20260630
INTRA_00000009,ACC_NAMER_000179,CUST_NAMER_000179,LOAN_NAMER_001266,BR_NAMER_0004,2026-06-30 23:45:50,596.43,1023.16,-426.73,USD,NAMER,2026-06-30,2026-06-30,intraday_20260630
INTRA_00000010,ACC_NAMER_000066,CUST_NAMER_000066,LOAN_NAMER_001335,BR_NAMER_0016,2026-06-30 23:22:13,88794.86,86323.32,2471.54,USD,NAMER,2026-06-30,2026-06-30,intraday_20260630
INTRA_00000011,ACC_NAMER_000099,CUST_NAMER_000099,LOAN_NAMER_001188,BR_NAMER_0024,2026-06-30 14:44:57,13025.93,19896.42,-6870.49,USD,NAMER,2026-06-30,2026-06-30,intraday_20260630
INTRA_00000012,ACC_NAMER_000024,CUST_NAMER_000024,LOAN_NAMER_000658,BR_NAMER_0024,2026-06-30 13:51:08,1065.08,427.19,637.89,USD,NAMER,2026-06-30,2026-06-30,intraday_20260630
INTRA_00000013,ACC_NAMER_000249,CUST_NAMER_000249,LOAN_NAMER_000164,BR_NAMER_0024,2026-06-30 06:00:03,488.42,861.8,-373.38,USD,NAMER,2026-06-30,2026-06-30,intraday_20260630
INTRA_00000014,ACC_NAMER_000165,CUST_NAMER_000165,LOAN_NAMER_001135,BR_NAMER_0015,2026-06-30 01:59:25,60366.66,104006.33,-43639.67,USD,NAMER,2026-06-30,2026-06-30,intraday_20260630
INTRA_00000015,ACC_NAMER_000094,CUST_NAMER_000094,LOAN_NAMER_001450,BR_NAMER_0019,2026-06-30 13:31:30,22761.18,21573.25,1187.93,USD,NAMER,2026-06-30,2026-06-30,intraday_20260630
INTRA_00000016,ACC_NAMER_000124,CUST_NAMER_000124,LOAN_NAMER_000778,BR_NAMER_0024,2026-06-30 23:32:37,3824.37,10380.74,-6556.37,USD,NAMER,2026-06-30,2026-06-30,intraday_20260630
INTRA_00000017,ACC_NAMER_000156,CUST_NAMER_000156,LOAN_NAMER_001358,BR_NAMER_0006,2026-06-30 15:26:43,9394.75,8714.45,680.3,USD,NAMER,2026-06-30,2026-06-30,intraday_20260630
INTRA_00000018,ACC_NAMER_000249,CUST_NAMER_000249,LOAN_NAMER_000333,BR_NAMER_0024,2026-06-30 07:05:23,546.92,759.97,-213.05,USD,NAMER,2026-06-30,2026-06-30,intraday_20260630
INTRA_00000019,ACC_NAMER_000271,CUST_NAMER_000271,LOAN_NAMER_000390,BR_NAMER_0021,2026-06-30 09:49:38,7584.07,7675.4,-91.33,USD,NAMER,2026-06-30,2026-06-30,intraday_20260630
