loan_id,customer_id,account_id,branch_id,loan_start_date,loan_amount,outstanding_balance,interest_rate,currency_code,region_code,start_date,end_date,baseline,loan_type
LOAN_NAMER_001592,CUST_NAMER_001592,ACC_NAMER_001592,BR_NAMER_0192,2025-04-25,548643.06,170456.42,12.32,USD,NAMER,2025-04-25,2025-08-18,loan_20260629,Retail
LOAN_NAMER_000944,CUST_NAMER_000944,ACC_NAMER_000944,BR_NAMER_0144,2025-10-09,1535129.63,1053572.31,15.42,USD,NAMER,2025-10-09,2026-09-14,loan_20260629,Corporate
LOAN_NAMER_000870,CUST_NAMER_000870,ACC_NAMER_000870,BR_NAMER_0070,2025-08-17,507695.54,317726.69,11.4,USD,NAMER,2025-08-17,2026-04-06,loan_20260629,Retail
LOAN_NAMER_000163,CUST_NAMER_000163,ACC_NAMER_000163,BR_NAMER_0163,2025-04-15,865718.34,777554.84,15.37,USD,NAMER,2025-04-15,2027-01-23,loan_20260629,SME
LOAN_NAMER_001272,CUST_NAMER_001272,ACC_NAMER_001272,BR_NAMER_0072,2025-03-31,1815508.54,1161573.96,9.81,USD,NAMER,2025-03-31,2027-02-23,loan_20260629,SME
LOAN_NAMER_000071,CUST_NAMER_000071,ACC_NAMER_000071,BR_NAMER_0071,2026-03-09,1363882.85,856492.09,13.41,USD,NAMER,2026-03-09,2026-07-09,loan_20260629,SME
LOAN_NAMER_000248,CUST_NAMER_000248,ACC_NAMER_000248,BR_NAMER_0048,2025-01-31,359878.05,101197.56,9.26,USD,NAMER,2025-01-31,2025-08-04,loan_20260629,SME
LOAN_NAMER_000323,CUST_NAMER_000323,ACC_NAMER_000323,BR_NAMER_0123,2025-08-12,1442826.15,967033.09,9.75,USD,NAMER,2025-08-12,2026-07-06,loan_20260629,SME
LOAN_NAMER_001660,CUST_NAMER_000060,ACC_NAMER_000060,BR_NAMER_0060,2026-06-02,924874.18,486618.92,12.93,USD,NAMER,2026-06-02,2028-05-08,loan_20260629,SME
LOAN_NAMER_001005,CUST_NAMER_001005,ACC_NAMER_001005,BR_NAMER_0005,2025-01-28,5491245.77,1015492.38,5.94,USD,NAMER,2025-01-28,2026-11-23,loan_20260629,Corporate
LOAN_NAMER_001663,CUST_NAMER_000063,ACC_NAMER_000063,BR_NAMER_0063,2025-07-23,385244.56,160204.61,10.51,USD,NAMER,2025-07-23,2027-05-02,loan_20260629,Retail
LOAN_NAMER_000910,CUST_NAMER_000910,ACC_NAMER_000910,BR_NAMER_0110,2026-03-06,439791.92,207849.66,6.65,USD,NAMER,2026-03-06,2027-01-15,loan_20260629,SME
LOAN_NAMER_001226,CUST_NAMER_001226,ACC_NAMER_001226,BR_NAMER_0026,2026-04-05,679013.43,558394.79,6.09,USD,NAMER,2026-04-05,2028-02-27,loan_20260629,SME
LOAN_NAMER_000902,CUST_NAMER_000902,ACC_NAMER_000902,BR_NAMER_0102,2025-10-12,28524282.5,23589474.19,7.59,USD,NAMER,2025-10-12,2026-01-16,loan_20260629,Mega Corporate
