transaction_id,account_id,customer_id,branch_id,transaction_date,transaction_type,transaction_amount,currency_code,region_code,loan_id,start_date,end_date,baseline,amount_bucket
TXN_00000001,ACC_NAMER_001239,CUST_NAMER_001239,BR_NAMER_0039,2026-06-09,Withdrawal,69803.06,USD,NAMER,LOAN_NAMER_001353,2026-06-09,2026-06-09,transaction_20260702,Large
TXN_00000002,ACC_NAMER_000440,CUST_NAMER_000440,BR_NAMER_0040,2026-06-26,Transfer,5302.27,USD,NAMER,LOAN_NAMER_001264,2026-06-26,2026-06-26,transaction_20260702,Medium
TXN_00000003,ACC_NAMER_000096,CUST_NAMER_000096,BR_NAMER_0096,2026-06-04,Loan Payment,1556.78,USD,NAMER,LOAN_NAMER_000394,2026-06-04,2026-06-04,transaction_20260702,Medium
TXN_00000004,ACC_NAMER_001152,CUST_NAMER_001152,BR_NAMER_0152,2026-06-01,Transfer,9878.83,USD,NAMER,LOAN_NAMER_000363,2026-06-01,2026-06-01,transaction_20260702,Medium
TXN_00000005,ACC_NAMER_000512,CUST_NAMER_000512,BR_NAMER_0112,2026-06-11,Deposit,9719.36,USD,NAMER,LOAN_NAMER_001418,2026-06-11,2026-06-11,transaction_20260702,Medium
TXN_00000006,ACC_NAMER_001405,CUST_NAMER_001405,BR_NAMER_0005,2026-06-18,Card Payment,154.11,USD,NAMER,LOAN_NAMER_000562,2026-06-18,2026-06-18,transaction_20260702,Small
TXN_00000007,ACC_NAMER_000992,CUST_NAMER_000992,BR_NAMER_0192,2026-06-25,Deposit,893.7,USD,NAMER,LOAN_NAMER_000553,2026-06-25,2026-06-25,transaction_20260702,Small
TXN_00000008,ACC_NAMER_001193,CUST_NAMER_001193,BR_NAMER_0193,2026-06-18,Withdrawal,364.56,USD,NAMER,LOAN_NAMER_000031,2026-06-18,2026-06-18,transaction_20260702,Small
TXN_00000009,ACC_NAMER_000024,CUST_NAMER_000024,BR_NAMER_0024,2026-06-01,Card Payment,9985.17,USD,NAMER,LOAN_NAMER_001028,2026-06-01,2026-06-01,transaction_20260702,Medium
TXN_00000010,ACC_NAMER_000850,CUST_NAMER_000850,BR_NAMER_0050,2026-06-03,Deposit,4822.19,USD,NAMER,LOAN_NAMER_000062,2026-06-03,2026-06-03,transaction_20260702,Medium
TXN_00000011,ACC_NAMER_000769,CUST_NAMER_000769,BR_NAMER_0169,2026-06-13,Deposit,75102.39,USD,NAMER,LOAN_NAMER_000076,2026-06-13,2026-06-13,transaction_20260702,Large
TXN_00000012,ACC_NAMER_000149,CUST_NAMER_000149,BR_NAMER_0149,2026-06-22,Deposit,4058.07,USD,NAMER,LOAN_NAMER_001683,2026-06-22,2026-06-22,transaction_20260702,Medium
TXN_00000013,ACC_NAMER_001151,CUST_NAMER_001151,BR_NAMER_0151,2026-06-26,Withdrawal,3687.38,USD,NAMER,LOAN_NAMER_001360,2026-06-26,2026-06-26,transaction_20260702,Medium
TXN_00000014,ACC_NAMER_001586,CUST_NAMER_001586,BR_NAMER_0186,2026-06-13,Deposit,3571.52,USD,NAMER,LOAN_NAMER_001482,2026-06-13,2026-06-13,transaction_20260702,Medium
TXN_00000015,ACC_NAMER_001392,CUST_NAMER_001392,BR_NAMER_0192,2026-06-27,Loan Payment,8759.48,USD,NAMER,LOAN_NAMER_001640,2026-06-27,2026-06-27,transaction_20260702,Medium
TXN_00000016,ACC_NAMER_001042,CUST_NAMER_001042,BR_NAMER_0042,2026-06-22,Withdrawal,10649.66,USD,NAMER,LOAN_NAMER_000953,2026-06-22,2026-06-22,transaction_20260702,Medium
TXN_00000017,ACC_NAMER_000062,CUST_NAMER_000062,BR_NAMER_0062,2026-06-03,Withdrawal,717.12,USD,NAMER,LOAN_NAMER_000055,2026-06-03,2026-06-03,transaction_20260702,Small
TXN_00000018,ACC_NAMER_000109,CUST_NAMER_000109,BR_NAMER_0109,2026-06-09,Loan Payment,726.48,USD,NAMER,LOAN_NAMER_001621,2026-06-09,2026-06-09,transaction_20260702,Small
TXN_00000019,ACC_NAMER_001422,CUST_NAMER_001422,BR_NAMER_0022,2026-06-02,Withdrawal,9085.16,USD,NAMER,LOAN_NAMER_000619,2026-06-02,2026-06-02,transaction_20260702,Medium
TXN_00000020,ACC_NAMER_001503,CUST_NAMER_001503,BR_NAMER_0103,2026-06-09,Transfer,2214.25,USD,NAMER,LOAN_NAMER_000360,2026-06-09,2026-06-09,transaction_20260702,Medium
TXN_00000021,ACC_NAMER_001514,CUST_NAMER_001514,BR_NAMER_0114,2026-06-26,Deposit,6002.59,USD,NAMER,LOAN_NAMER_000433,2026-06-26,2026-06-26,transaction_20260702,Medium
TXN_00000022,ACC_NAMER_000635,CUST_NAMER_000635,BR_NAMER_0035,2026-06-21,Transfer,107765.38,USD,NAMER,LOAN_NAMER_001600,2026-06-21,2026-06-21,transaction_20260702,Large
